X (mm),Y (mm),,,,,"Anything can be writen into the Row1 for your notes; Columns from A2 and B2 are reserved for x, y, coordinations; 18 columns up to L2 can be used."
0,0,13160.35,12422.31,23079.47,19681.92,
5.972,48.635,12882.23,12082.12,22811.09,19446.94,
38.613,30.167,12890.42,12119.44,22839.6,19471.18,
48.635,-5.972,12931.18,12119.44,22862.07,19460.68,
30.167,-38.612,13041.48,12245.81,22902.28,19476.86,
-5.971,-48.635,13341.15,12369.82,22837.01,19478.88,
-38.612,-30.168,13366.49,12490.94,22809.91,19505.02,
-48.635,5.971,13077.38,12444.87,22820.54,19501.34,
-30.168,38.612,12944.56,12201.09,22846.66,19488.73,
11.943,97.27,12447.08,11568.03,23108.16,19842.76,
48.257,85.295,12323.79,11708.35,23094.11,19851.18,
77.225,60.335,12309.12,11755.05,23112.87,19844.55,
94.436,26.189,12459.27,11807.72,23123.71,19829.53,
97.27,-11.943,12464.37,11916.21,23106.61,19838.74,
85.295,-48.257,12427.21,11831.72,23105.87,19828.89,
60.335,-77.225,12486.83,11730.19,23111.6,19830.07,
26.19,-94.436,12863.08,11773.93,23141.68,19855.62,
-11.943,-97.27,13159.21,11985.75,23072.67,19879.9,
-48.257,-85.295,13253.86,12093.27,23032.25,19910.54,
-77.225,-60.335,13026.28,12213.64,23036.75,19930.87,
-94.436,-26.19,12852.77,12280.52,23070.42,19941.06,
-97.27,11.943,12582.57,12318.73,23043.6,19925.43,
-85.295,48.257,12459.59,12082.62,23163.12,19894.63,
-60.335,77.225,12553.19,11720.94,23101.1,19837.92,
-26.19,94.436,12553.55,11498.53,23108.42,19895.4,
17.915,145.904,10630.43,10026.77,23310.82,20189.82,
55.067,136.296,10507.04,10136.23,23302.17,20199.09,
88.467,117.399,10469.89,10204.93,23313.89,20207.46,
115.838,90.502,10567.96,10194.99,23331.47,20215.78,
135.314,57.438,10670.04,10161.65,23371.57,20194.69,
145.569,20.459,10817.3,10050.61,23391.55,20173.77,
145.904,-17.915,10778.1,10064.17,23371.63,20161.67,
136.296,-55.067,10715.29,9954.36,23341.04,20183.86,
117.4,-88.467,10628.32,9650.29,23338.23,20191.17,
90.502,-115.837,10526.91,9557.58,23369.48,20184.64,
57.438,-135.314,10799.75,9718.49,23395.23,20166.72,
20.459,-145.569,11542.62,9901.67,23405.29,20193.72,
-17.914,-145.904,11880.24,10221.85,23275.45,20196.78,
-55.067,-136.296,11966.81,10199.74,23169.63,20227.51,
-88.466,-117.4,11877.8,10046.06,23162.69,20232.68,
-115.837,-90.503,11438.26,10328.78,23135.27,20214.42,
-135.314,-57.438,11158.11,10583.61,23202.37,20220.61,
-145.569,-20.459,10969.66,10704.63,23169.15,20221.12,
-145.904,17.914,10662.8,10821.92,23196.4,20232.55,
-136.296,55.067,10524.08,10861.17,23225.54,20214.65,
-117.4,88.466,10644.16,10527.79,23348.08,20172,
-90.503,115.837,10782.69,10239.49,23372.09,20134.78,
-57.438,135.314,10880.93,10126.58,23331.34,20189.62,
-20.459,145.569,10840.79,10063.86,23333.84,20186.26,
