X(mm),Y(mm),Resist (Å),Resist (Å),Resist (Å),Resist (Å)
0,0,13160.35,13128.43,13456.57,12422.31
5.972,48.635,12882.23,12846.16,13299.01,12082.12
38.613,30.167,12890.42,12910.61,13146.37,12084.61
48.635,-5.972,12931.18,13016.39,13000.27,12119.44
30.167,-38.612,13041.48,13372.23,13077.17,12245.81
-5.971,-48.635,13341.15,13320.52,13235.04,12369.82
-38.612,-30.168,13366.49,13084.63,13405.36,12490.94
-48.635,5.971,13077.38,12925.38,13380.39,12444.87
-30.168,38.612,12944.56,12873.7,13312.93,12201.09
11.943,97.27,12447.08,12502.05,13175.07,11568.03
48.257,85.295,12323.79,12557.57,13079.99,11708.35
77.225,60.335,12309.12,12447.56,12853.46,11755.05
94.436,26.189,12459.27,12439.85,12675.43,11807.72
97.27,-11.943,12464.37,12820.34,12543.9,11916.21
85.295,-48.257,12427.21,13315.47,12551.63,11831.72
60.335,-77.225,12486.83,13798.01,12596.03,11730.19
26.19,-94.436,12863.08,13740.17,12731.69,11773.93
-11.943,-97.27,13159.21,13372.88,12792.04,11985.75
-48.257,-85.295,13253.86,12899.65,12826.92,12093.27
-77.225,-60.335,13026.28,12616.44,12933.8,12213.64
-94.436,-26.19,12852.77,12494.95,13107.06,12280.52
-97.27,11.943,12582.57,12639.04,13030.82,12318.73
-85.295,48.257,12459.59,12586.14,12895.87,12082.62
-60.335,77.225,12553.19,12458.79,12949.82,11720.94
-26.19,94.436,12553.55,12415.07,13093.39,11498.53
17.915,145.904,10630.43,11215.11,12109.54,10026.77
55.067,136.296,10507.04,11226.61,12074.7,10136.23
88.467,117.399,10469.89,11110.41,11928.96,10204.93
115.838,90.502,10567.96,10801.17,11620.76,10194.99
135.314,57.438,10670.04,10619.88,11361.91,10161.65
145.569,20.459,10817.3,10680.46,11232.99,10050.61
145.904,-17.915,10778.1,11157.75,11109.16,10064.17
136.296,-55.067,10715.29,11719.4,11117.16,9954.36
117.4,-88.467,10628.32,12718.92,11119.9,9650.29
90.502,-115.837,10526.91,13194.34,11031.13,9557.58
57.438,-135.314,10799.75,13204.88,11056.24,9718.49
20.459,-145.569,11542.62,12920.88,11322.88,9901.67
-17.914,-145.904,11880.24,12475.5,11185.34,10221.85
-55.067,-136.296,11966.81,11604.93,11091.68,10199.74
-88.466,-117.4,11877.8,10944.74,11246.04,10046.06
-115.837,-90.503,11438.26,10656.06,11339.23,10328.78
-135.314,-57.438,11158.11,10627.95,11567.03,10583.61
-145.569,-20.459,10969.66,10765.29,11766.7,10704.63
-145.904,17.914,10662.8,11119.73,11533.53,10821.92
-136.296,55.067,10524.08,11341.5,11288.28,10861.17
-117.4,88.466,10644.16,11246.71,11227.64,10527.79
-90.503,115.837,10782.69,11109.49,11361.88,10239.49
-57.438,135.314,10880.93,11194.34,11648.17,10126.58
-20.459,145.569,10840.79,11277.56,11965.3,10063.86
